NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,PowerTLTMmin,PowerTLTMmax,SecondsTLTS1,IdLogNum,PowerRLTMmin,PowerRLTMmax,SecondsRLTS1,SecondsRLTS2,ES,SES,BBE,UAS
SOEM-M,9388,HC,2013-01-01 05:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,9388,RAU,2013-01-01 05:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,9.0,16.0,161.0,0,,,,,,,,
SOEM-M,9388,HC,2013-01-01 05:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,2.0,0.0,263.0,0.0
SOEM-M,9388,RAU,2013-01-01 05:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,13.0,16.0,340.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 05:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 06:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,11.0,16.0,21.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 06:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,HC,2013-01-01 06:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,9388,HC,2013-01-01 06:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,9388,RAU,2013-01-01 06:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 06:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,9.0,13.0,0.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 06:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 06:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,10.0,17.0,254.0,0,,,,,,,,
SOEM-M,9388,HC,2013-01-01 06:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,9388,RAU,2013-01-01 06:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,11.0,16.0,65.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 06:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-49.9,0.0,0.0,,,,
SOEM-M,9388,HC,2013-01-01 06:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,4.0,1.0,428.0,0.0
SOEM-M,9388,HC,2013-01-01 07:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,15.0,4.0,1504.0,0.0
SOEM-M,9388,RAU,2013-01-01 07:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-49.6,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 07:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,8.0,15.0,17.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 07:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,HC,2013-01-01 07:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,9388,RAU,2013-01-01 07:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,9.0,14.0,0.0,0,,,,,,,,
SOEM-M,9388,HC,2013-01-01 07:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,6.0,3.0,339.0,0.0
SOEM-M,9388,RAU,2013-01-01 07:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,9.0,15.0,0.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 07:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,HC,2013-01-01 07:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,2.0,1.0,167.0,0.0
SOEM-M,9388,RAU,2013-01-01 07:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,8.0,11.0,0.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 07:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,HC,2013-01-01 08:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,9388,RAU,2013-01-01 08:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,8.0,15.0,0.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 08:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,HC,2013-01-01 08:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,13.0,1.0,2056.0,0.0
SOEM-M,9388,RAU,2013-01-01 08:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,8.0,14.0,0.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 08:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-49.9,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 08:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,10.0,15.0,0.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 08:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-49.9,0.0,0.0,,,,
SOEM-M,9388,HC,2013-01-01 08:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,4.0,1.0,465.0,0.0
SOEM-M,9388,RAU,2013-01-01 08:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-50.8,-50.2,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 08:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,9.0,12.0,0.0,0,,,,,,,,
SOEM-M,9388,HC,2013-01-01 08:45:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,9388,RAU,2013-01-01 09:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,9.0,13.0,0.0,0,,,,,,,,
SOEM-M,9388,HC,2013-01-01 09:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,0.0,0.0,0.0,0.0
SOEM-M,9388,RAU,2013-01-01 09:00:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-51.1,-49.9,0.0,0.0,,,,
SOEM-M,9388,RAU,2013-01-01 09:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-51.1,-49.6,0.0,0.0,,,,
SOEM-M,9388,HC,2013-01-01 09:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,4.0,1.0,516.0,0.0
SOEM-M,9388,RAU,2013-01-01 09:15:00,15,Near End,a459_00459_04062_6879.341,1+0,-,10.0,14.0,0.0,0,,,,,,,,
SOEM-M,9388,HC,2013-01-01 09:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,,,,,3.0,1.0,408.0,0.0
SOEM-M,9388,RAU,2013-01-01 09:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,10.0,15.0,0.0,0,,,,,,,,
SOEM-M,9388,RAU,2013-01-01 09:30:00,15,Near End,a459_00459_04062_6879.341,1+0,-,,,,0,-51.1,-49.9,0.0,0.0,,,,
